frame,measured_x,measured_y,kalman_x,kalman_y,loop_ms
62,320.0,180.0,320.6159973144531,180.43975830078125,2.0160999993095174
63,320.0,180.0,320.2375183105469,180.2399139404297,2.045599991106428
64,320.0,180.0,319.96026611328125,180.087646484375,2.3009999858913943
65,320.0,180.0,319.76812744140625,179.9765167236328,0.9221000073011965
66,320.0,180.0,319.6454162597656,179.89988708496094,1.516399992397055
67,320.0,180.0,319.5776672363281,179.85134887695312,1.4186999906087294
68,320.0,180.0,319.5518493652344,179.82496643066406,0.9637000039219856
69,326.0,180.0,319.5567626953125,179.81546020507812,1.4327999961096793
70,320.0,180.0,321.6880798339844,179.81826782226562,2.483800009940751
71,320.0,180.0,321.296630859375,179.82952880859375,1.7244000046048313
72,320.0,180.0,320.9560241699219,179.84616088867188,1.5019999991636723
73,320.0,180.0,320.66845703125,179.86569213867188,1.368700002785772
74,320.0,180.0,320.4327697753906,179.88626098632812,1.6081000067060813
75,320.0,180.0,320.24554443359375,179.906494140625,1.124700007494539
76,320.0,180.0,320.101806640625,179.9254608154297,1.0238999966531992
77,320.0,180.0,319.99591064453125,179.94256591796875,0.7753999962005764
78,320.0,180.0,319.9219665527344,179.95748901367188,0.5848000000696629
79,320.0,180.0,319.8741760253906,179.97012329101562,0.6490000087069348
80,320.0,180.0,319.84716796875,179.98049926757812,0.730999992811121
81,320.0,180.0,319.8360595703125,179.98875427246094,0.5303000070853159
82,320.0,180.0,319.83673095703125,179.9951171875,0.614399992628023
83,320.0,180.0,319.8455505371094,179.9998321533203,1.9849999953294173
84,320.0,186.0,319.859619140625,180.0031280517578,1.1662000033538789
85,320.0,180.0,319.8766784667969,182.1104736328125,2.506399992853403
86,320.0,180.0,319.89495849609375,181.68057250976562,1.189300004625693
87,320.0,180.0,319.9131164550781,181.29335021972656,0.9841999999480322
88,320.0,180.0,319.9302978515625,180.9558563232422,0.7673000072827563
89,320.0,181.0,319.9458923339844,180.67050170898438,0.7172000041464344
90,327.0,182.0,319.9595947265625,180.78713989257812,0.9684999968158081
91,320.0,180.0,322.42730712890625,181.23060607910156,0.8836999913910404
92,320.0,180.0,321.9339599609375,180.87890625,1.33790000109002
